"","site_quota","radius","n.samples","n.timeBins","n.subregions","avg.obs.per.timeBin","avg.obs.per.subregion","intercept","intercept.std.Error","intercept.df","intercept.t.value","intercept.p.value","slope","slope.std.Error","slope.df","slope.t.value","slope.p.value"
"1",2,200000,4500,22,45,204.545454545455,100,21.1682521464382,3.02384217249204,29.0563934052931,7.0004487466331,1.05730547469702e-07,-0.319812309246048,0.144532223063662,42.8196967470965,-2.21274053956245,0.0322976503792432
"2",3,200000,1600,9,16,177.777777777778,100,28.3724219401652,5.70641056086739,11.7000905404816,4.97202604641411,0.000349672036654484,-0.451004228706199,0.267142209113811,13.9622359313101,-1.68825521883012,0.113562099049158
"3",4,200000,1000,7,10,142.857142857143,100,38.3606868302139,4.7306226493152,6.97640116071562,8.10901432515802,8.51458792325815e-05,-0.754118750465061,0.203151857860385,7.99502135559749,-3.71209379233601,0.00594499842188406
"5",2,500000,4900,27,49,181.481481481481,100,25.9734493474623,3.86258961899769,30.9895178902357,6.72436160955722,1.59422740219999e-07,-0.531218586922698,0.19457845200607,46.684014351524,-2.73009976924951,0.00890241048179435
"6",3,500000,2000,13,20,153.846153846154,100,28.0180449612766,5.11502430627519,13.455136899783,5.47759761901887,9.38339103633793e-05,-0.367855132726523,0.19002987168052,16.2426363782816,-1.93577530455298,0.0704983136583061
"7",4,500000,1100,8,11,137.5,100,39.1872491065689,4.15005770393407,7.97152014929801,9.44257933315509,1.33197970766099e-05,-0.800989969695337,0.175591673370212,8.99651863012966,-4.5616626023408,0.001364385239219
"8",5,500000,700,6,7,116.666666666667,100,41.2697495905187,4.75182415613036,4.72375980641378,8.6850329967022,0.000443543567185473,-0.724331100636162,0.170051266694954,4.9434673306008,-4.25948665196069,0.00822392831203979
"9",2,1000000,4800,29,48,165.51724137931,100,25.9202625920918,3.81535026328448,35.4429787404768,6.79367837902728,6.63126969669191e-08,-0.498154532316504,0.189744917543996,45.8980749671213,-2.62539064953346,0.0117184725432383
"10",3,1000000,2100,15,21,140,100,27.1108449518395,4.98664579731936,15.9549632108977,5.43668952112327,5.53998522401291e-05,-0.317108087361742,0.200270960911304,18.6165327321313,-1.58339524571504,0.130171739784434
"11",4,1000000,1300,8,13,162.5,100,34.4989811829332,5.86816184278452,7.37325045780777,5.87900983428962,0.000504441441314042,-0.613076343261867,0.259223837244959,10.5921304124455,-2.36504616927851,0.0382964090394959
"12",5,1000000,900,7,9,128.571428571429,100,34.1339285714286,6.79326922880978,6.99999999990515,5.02466889236025,0.00152244772871183,-0.441964285714286,0.266226494367193,6.9999999999479,-1.66010631948865,0.140852436400543
